Number or provisional designation in packed form,H absolute magnitude,G slope parameter,Epoch in packed form .0 TT,Mean anomaly at epoch in degrees,Argument of perihelion J2000.0 degrees,Longitude of ascending node J2000.0 degrees,Inclination to ecliptic J2000.0 degrees,Orbital eccentricity,Mean daily motion degrees per day,Semimajor axis AU,Uncertainty parameter U,Reference,Number of observations,Number of oppositions,Year of first observation,Year of last observation,Arc length days,RMS residual arcsec,Coarse indicator of perturbers blank if unperturbed one opposition object,Precise indicator of perturbers blank if unperturbed one opposition object,Computer name,Readable designation,Date of last observation included in orbit solution YYYYMMDD
66652,5.88,0.15,K221L,60.26266,201.87196,85.05277,0.56348,0.0908507,0.00336302,44.1214377,2,MPO657462,249,18,1999,2021,-999,0.79,M-v,3Ek,Pan,(66652) Borasisi,20211004
69986,8.3,0.15,K221L,52.0288,145.80593,233.93916,13.9284,0.2271296,0.00398273,39.4168956,2,MPO468637,33,8,1998,2018,-999,0.25,M-v,38h,MPCLINUX,(69986) 1998 WW24,20180914
69987,7.1,0.15,K221L,86.554,214.34654,136.33639,1.04711,0.0248572,0.00355592,42.5109724,3,MPO432252,20,7,1998,2017,-999,0.21,M-v,38h,MPCLINUX,(69987) 1998 WA25,20171220
69988,7.4,0.15,K221L,47.76598,310.01031,20.58197,9.43581,0.432568,0.00238495,55.4817638,2,MPO337790,26,5,1998,2008,-999,0.44,M-v,38h,MPCLINUX,(69988) 1998 WA31,20081222
69990,8.1,0.15,K221L,55.30697,141.09362,237.14008,6.57753,0.1886911,0.00401303,39.218215,2,MPO432252,31,6,1998,2017,-999,0.22,M-v,38h,MPCLINUX,(69990) 1998 WU31,20171226
73480,8.53,0.15,K221L,41.68117,358.9355,299.0271,16.64223,0.5707209,0.00566882,31.1511766,3,MPO594229,260,19,2001,2020,-999,0.57,M-v,3Ek,Pan,(73480) 2002 PN34,20200205
76803,7.29,0.15,K221L,70.03528,130.25584,127.29091,33.65793,0.1235467,0.00406148,38.9056992,2,MPO594270,93,15,2000,2020,-999,0.64,M-v,3Ek,Pan,(76803) 2000 PK30,20200628
78799,5.0,0.15,K221L,148.37906,248.25135,46.74266,14.34039,0.2516046,0.00429906,37.4587734,1,MPO553931,81,13,1989,2016,-999,0.23,M-v,38h,Alexanders,(78799) 2002 XW93,20160221
79360,5.29,0.15,K221L,311.85909,249.73635,304.43186,2.25428,0.0059814,0.00342306,43.6040178,2,MPO600179,493,24,1997,2021,-999,0.48,M-v,3Ek,Pan,(79360) Sila-Nunam,20210315
79969,7.74,0.15,K221L,64.02537,155.30711,334.40215,3.18634,0.0801245,0.00481111,34.7514014,2,MPO594307,187,15,1999,2020,-999,0.55,M-v,3Ek,Pan,(79969) 1999 CP133,20200617
79978,5.7,0.15,K221L,49.80703,100.16083,336.99555,18.81248,0.2739144,0.00251683,53.5262196,2,MPO532043,35,9,1999,2016,-999,0.21,M-v,38h,MPCW,(79978) 1999 CC158,20160117
79983,6.11,0.15,K221L,26.68922,176.26188,334.95658,9.84753,0.1374609,0.00314856,46.1028332,3,MPO594307,187,14,1999,2020,-999,0.46,M-v,3Ek,Pan,(79983) 1999 DF9,20200517
80806,6.68,0.15,K221L,109.77497,0.86439,45.5339,3.76087,0.0685381,0.00363044,41.9272851,3,MPO594318,122,15,2000,2020,-999,0.45,M-v,3Ek,Pan,(80806) 2000 CM105,20200418
82075,4.72,0.15,K221L,36.34176,314.92846,126.99884,19.85974,0.2866911,0.00226394,57.4415418,2,MPO600179,339,19,2000,2021,-999,0.52,M-v,3Ek,Pan,(82075) 2000 YW134,20210304
82155,6.22,0.15,K221L,5.10546,199.41789,2.50929,12.74036,0.6176001,0.00126239,84.7893522,3,MPO637137,236,18,2000,2021,-999,0.71,M-v,3Ek,Pan,(82155) 2001 FZ173,20210609
82157,7.06,0.15,K221L,289.68774,118.94431,150.86877,5.37884,0.0595872,0.00414127,38.4043186,3,MPO594336,142,15,2001,2020,-999,0.6,M-v,3Ek,Pan,(82157) 2001 FM185,20200422
84522,3.94,0.15,K221L,327.94556,86.07425,23.78228,34.97286,0.2927579,0.00238952,55.4108992,3,MPO647685,464,21,2000,2021,-999,0.44,M-v,3Ek,Pan,(84522) 2002 TC302,20210905
84719,5.27,0.15,K221L,80.56386,289.09131,22.97276,13.98361,0.2668679,0.00395889,39.5749306,2,MPO657570,249,21,1983,2021,-999,0.67,M-v,3Ek,Pan,(84719) 2002 VR128,20211014
84922,3.97,0.15,K221L,27.48063,110.70905,302.62335,14.81947,0.0771374,0.00398252,39.4182761,2,MPO600179,302,21,1991,2021,-999,0.48,M-v,3Ek,Pan,(84922) 2003 VS2,20210111
85627,7.4,0.15,K221L,321.5214,251.55628,56.02792,1.51838,0.0918438,0.00335998,44.1480594,3,MPO355729,37,5,1998,2007,-999,0.11,M-v,38h,MPCLINUX,(85627) 1998 HP151,20070513
85633,6.7,0.15,K221L,277.20869,316.5497,101.97679,1.19109,0.0313623,0.00339088,43.8794054,2,MPO542755,57,7,1998,2017,-999,0.22,M-v,38h,Veres,(85633) 1998 KR65,20170822
86047,6.79,0.15,K221L,66.37754,307.58405,301.73895,24.16866,0.1710884,0.00335338,44.2059951,2,MPO594390,113,18,1999,2020,-999,0.56,M-v,3Ek,Pan,(86047) 1999 OY3,20200627
86177,7.01,0.15,K221L,354.13306,50.62085,326.50577,22.12619,0.2440058,0.00319145,45.688936,2,MPO657579,137,17,1999,2021,-999,0.78,M-v,3Ek,Pan,(86177) 1999 RY215,20211006
87555,8.2,0.15,K221L,51.22356,285.26368,329.98521,6.75886,0.5632254,0.00472228,35.1858666,0,MPO410599,32,6,2000,2013,-999,0.3,M-v,38h,MPCLINUX,(87555) 2000 QB243,20130929
88267,7.2,0.15,K221L,109.76031,39.26654,113.0137,0.49871,0.0207544,0.00348293,43.1028466,3,MPO157286,31,5,2001,2005,-999,0.19,M-v,38h,MPCALB,(88267) 2001 KE76,20050726
88268,6.3,0.15,K221L,319.89548,229.99553,86.9704,1.88814,0.022003,0.00353524,42.6766651,4,MPO186592,41,4,2001,2004,-999,0.19,M-v,38h,MPCW,(88268) 2001 KK76,20040528
88611,5.8,0.15,K221L,156.68655,245.86786,304.55873,2.57044,0.0199242,0.00333256,44.3898626,2,MPO502678,65,9,2000,2019,-999,0.26,M-v,38h,Williams,(88611) Teharonhiawako,20191026
90482,2.29,0.15,K221L,183.33691,72.96812,268.66479,20.57912,0.229315,0.00403156,39.097938,1,MPO637231,1150,27,1951,2021,-999,0.7,M-v,3Ek,Pan,(90482) Orcus,20210611
90568,4.02,0.15,K221L,43.13443,293.20885,250.62078,21.98146,0.0739211,0.00363412,41.8989789,1,MPO637232,272,20,1954,2021,-999,0.54,M-v,3Ek,Pan,(90568) 2004 GV9,20210630
91133,7.6,0.15,K221L,32.79468,182.11463,50.31098,5.94613,0.2298701,0.00395892,39.5747754,3,MPO186595,31,4,1998,2001,-999,0.13,M-v,38h,MPCW,(91133) 1998 HK151,20010719
91205,8.0,0.15,K221L,68.54333,140.40097,223.79342,10.59871,0.1352069,0.00400603,39.2639093,2,MPO366273,25,6,1998,2016,-999,0.44,M-v,38h,MPCLINUX,(91205) 1998 US43,20160204
91554,7.8,0.15,K221L,7.79817,336.04211,341.56445,25.44517,0.703155,0.00092343,104.439918,0,MPO542755,30,8,1999,2017,-999,0.32,M-v,38h,Veres,(91554) 1999 RZ215,20171111
95625,7.4,0.15,K221L,22.97267,186.4286,28.28094,13.95428,0.3764596,0.00253711,53.2406689,2,MPO157288,25,5,1994,2006,-999,0.4,M-v,38h,MPCAPO,(95625) 2002 GX32,20060425
B8228,7.14,0.15,K221L,33.96468,19.06204,10.58933,14.64633,0.1244057,0.00397684,39.4557632,2,MPO600179,93,14,1996,2020,-999,0.52,M-v,3Ek,Pan,(118228) 1996 TQ66,20201209
B8378,7.6,0.15,K221L,328.42058,189.90094,87.93437,5.05181,0.1153628,0.00340403,43.7663336,3,MPO341358,28,5,1999,2015,-999,0.29,M-v,38h,MPCLINUX,(118378) 1999 HT11,20150524
B8379,7.6,0.15,K221L,70.80088,95.52518,57.04815,15.35972,0.230951,0.00323381,45.2890057,3,MPO 87914,15,4,1999,2005,-999,0.28,M-v,38h,MPCM,(118379) 1999 HC12,20050414
B8698,8.25,0.15,K221L,335.48833,81.30194,284.96346,11.19121,0.2391405,0.00336626,44.0931331,4,MPO657771,51,10,2000,2021,-999,0.66,M-v,3Ek,Pan,(118698) 2000 OY51,20210912
B8702,6.8,0.15,K221L,11.70299,349.29575,326.98091,23.30358,0.6092632,0.00097849,100.4842695,2,MPO157301,21,5,2000,2008,-999,0.21,M-v,38h,MPCADO,(118702) 2000 OM67,20080725
B9066,6.8,0.15,K221L,317.52546,271.22381,47.74138,6.74232,0.084135,0.00339236,43.8666801,3,MPO 88168,27,4,2001,2005,-999,0.17,M-v,38h,MPCM,(119066) 2001 KJ76,20050607
B9067,6.6,0.15,K221L,303.9352,303.10155,42.89485,7.21413,0.1935307,0.00340191,43.7845515,3,MPO157301,24,6,2001,2007,-999,0.17,M-v,38h,MPCADO,(119067) 2001 KP76,20070508
B9068,6.7,0.15,K221L,18.15708,180.82555,57.8739,12.91146,0.359769,0.00238734,55.4446039,3,MPO 88168,21,4,2001,2005,-999,0.26,M-v,38h,MPCM,(119068) 2001 KC77,20050511
B9069,7.1,0.15,K221L,326.6892,280.06156,45.46616,2.36399,0.2455682,0.00398903,39.3753849,3,MPO186631,27,6,2001,2008,-999,0.32,M-v,38h,MPCADO,(119069) 2001 KN77,20080504
